Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Emission_Norm,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,Gears,Ground_Clearance,Odometer,Speedometer,Seating_Capacity,Transmission,ABS_(Anti-lock_Braking_System),EBD_(Electronic_Brake-force_Distribution),Number_of_Airbags
Tata,Nano Genx,Xt,"Rs. 2,92,667",624 cc,2,2,RWD (Rear Wheel Drive),BS IV,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,5,4,180 mm,Digital,Analog,4,Manual,,,
Tata,Nano Genx,Xe,"Rs. 2,36,447",624 cc,2,2,RWD (Rear Wheel Drive),BS IV,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,5,4,180 mm,Digital,Analog,4,Manual,,,
Tata,Nano Genx,Emax Xm,"Rs. 2,96,661",624 cc,2,2,RWD (Rear Wheel Drive),BS IV,15 litres,CNG,1652 mm,3164 mm,1750 mm,Hatchback,4,4,180 mm,Digital,Analog,4,Manual,,,
Tata,Nano Genx,Xta,"Rs. 3,34,768",624 cc,2,2,RWD (Rear Wheel Drive),BS IV,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,5,5,180 mm,Digital,Analog,4,Automatic,,,
Tata,Nano Genx,Xm,"Rs. 2,72,223",624 cc,2,2,RWD (Rear Wheel Drive),BS IV,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,5,4,180 mm,Digital,Analog,4,Manual,,,
Tata,Nano Genx,Xma,"Rs. 3,14,815",624 cc,2,2,RWD (Rear Wheel Drive),BS IV,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,5,5,180 mm,Digital,Analog,4,Automatic,,,
Datsun,Redi-Go,D,"Rs. 2,79,650",799 cc,3,4,FWD (Front Wheel Drive),BS IV,28 litres,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,5,5,185 mm,Digital,Analog,5,Manual,Yes,,
Datsun,Redi-Go,T,"Rs. 3,51,832",799 cc,3,4,FWD (Front Wheel Drive),BS IV,28 litres,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,5,5,185 mm,Digital,Analog,5,Manual,,,
Datsun,Redi-Go,A,"Rs. 3,33,419",799 cc,3,4,FWD (Front Wheel Drive),BS IV,28 litres,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,5,5,185 mm,Digital,Analog,5,Manual,,,
Datsun,Redi-Go,S,"Rs. 3,62,000",799 cc,3,4,FWD (Front Wheel Drive),BS IV,28 litres,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,5,5,185 mm,Digital,Analog,5,Manual,,,
Datsun,Redi-Go,1.0 S,"Rs. 3,90,000",999 cc,3,4,FWD (Front Wheel Drive),BS IV,28 litres,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,5,5,185 mm,Digital,Analog,5,Manual,,,
Datsun,Redi-Go,1.0 S Amt,"Rs. 4,37,065",999 cc,3,4,FWD (Front Wheel Drive),BS IV,28 litres,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,5,5,185 mm,Digital,Analog,5,Automatic,,,
Renault,Kwid,Rxe 0.8,"Rs. 3,53,290",799 cc,3,4,FWD (Front Wheel Drive),BS 6,28 litres,Petrol,1490 mm,3731 mm,1579 mm,Hatchback,5,6,184 mm,Digital,Digital,5,Manual,Yes,Yes,1
Renault,Kwid,Std 0.8,"Rs. 2,83,290",799 cc,3,4,FWD (Front Wheel Drive),BS 6,28 litres,Petrol,1490 mm,3731 mm,1579 mm,Hatchback,5,5,184 mm,Digital,Digital,5,Manual,Yes,Yes,1
Renault,Kwid,Rxl 0.8,"Rs. 3,83,290",799 cc,3,4,FWD (Front Wheel Drive),BS 6,28 litres,Petrol,1490 mm,3731 mm,1579 mm,Hatchback,5,5,184 mm,Digital,Digital,5,Manual,Yes,Yes,1
Renault,Kwid,Rxt 0.8,"Rs. 4,13,290",799 cc,3,4,FWD (Front Wheel Drive),BS 6,28 litres,Petrol,1490 mm,3731 mm,1580 mm,Hatchback,5,5,184 mm,Digital,Digital,5,Manual,Yes,Yes,1
Renault,Kwid,Rxt 1.0,"Rs. 4,33,290",999 cc,3,4,FWD (Front Wheel Drive),BS 6,28 litres,Petrol,1490 mm,3731 mm,1579 mm,Hatchback,5,5,184 mm,Digital,Digital,5,Manual,Yes,Yes,1
Renault,Kwid,Climber 1.0 Mt,"Rs. 4,54,490",999 cc,3,4,FWD (Front Wheel Drive),BS 6,28 litres,Petrol,1490 mm,3731 mm,1579 mm,Hatchback,5,5,184 mm,Digital,Digital,5,Manual,Yes,Yes,1
